"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"312","TyTy Washington Jr.","HOU","PG","247","307","271.3","25.8"
"313","Nemanja Bjelica","FA","PF FA","240","247","243.5","3.5"
"314","Jeremiah Robinson-Earl","OKC","SF,PF","226","342","276.7","48.5"
"315","Shaedon Sharpe","POR","SG","259","292","273.7","13.7"
"316","Elfrid Payton","FA","PG FA","243","251","247.0","4.0"
"317","Patty Mills","BKN","PG","245","298","275.3","22.3"
"318","Zeke Nnaji","DEN","PF,C DTD","271","279","276.3","3.8"
"319","Johnny Davis","WAS","SG","262","305","278.3","19.0"
"320","Trevor Ariza","FA","SG,SF,PF FA","250","255","252.5","2.5"
"321","Payton Pritchard","BOS","PG","253","359","288.7","49.7"
"322","Udoka Azubuike","UTH","C OUT","231","277","254.0","23.0"
"323","Trey Lyles","SAC","PF,C","252","296","280.3","20.1"
"324","Usman Garuba","HOU","PF","261","291","280.7","13.9"
"325","Omer Yurtseven","MIA","C","235","276","255.5","20.5"
"326","Jake LaRavia","MEM","PF","240","271","255.5","15.5"
"327","Georges Niang","PHI","SF,PF DTD","259","296","282.7","16.8"
"328","Terence Davis II","SAC","SG,SF","260","350","291.3","41.5"
"329","Goga Bitadze","IND","C DTD","243","283","263.0","20.0"
"330","Oshae Brissett","IND","SF,PF DTD","258","269","263.5","5.5"
"331","Jordan McLaughlin","MIN","PG","275","300","286.3","10.3"
"332","Landry Shamet","PHO","PG,SG DTD","255","273","264.0","9.0"
"333","Taurean Prince","MIN","SF,PF","258","354","295.7","41.8"
"334","Bismack Biyombo","PHO","C","258","280","269.0","11.0"
"335","Jaden Hardy","DAL","G","257","288","272.5","15.5"
"336","Trevor Keels","NYK","SF","256","293","274.5","18.5"
"337","Jeff Green","DEN","SF,PF DTD","219","353","286.0","67.0"
"338","Gary Harris","ORL","SG,SF OUT","286","357","311.0","27.3"
"339","AJ Griffin","ATL","SF","268","288","278.0","10.0"
"340","John Konchar","MEM","SG,PG","235","347","291.0","56.0"
"341","Jericho Sims","NYK","C,PF","278","319","300.0","16.9"
"342","Nikola Jovic","MIA","SF","277","295","286.0","9.0"
"343","Garrison Mathews","HOU","SG,SF DTD","278","295","286.5","8.5"
"344","Jaylin Williams","OKC","C","285","291","288.0","3.0"
"345","Aaron Nesmith","IND","SG,SF","284","294","289.0","5.0"
"346","Jared Butler","UTH","SG","285","294","289.5","4.5"
"347","Kenrich Williams","OKC","SF,PF","248","248","248.0","0.0"
"348","Torrey Craig","PHO","SG,SF DTD","261","261","261.0","0.0"
"349","Ousmane Dieng","OKC","F","263","263","263.0","0.0"
"350","Josh Green","DAL","SG,SF","266","358","312.0","46.0"
"351","Christian Braun","DEN","SG","273","273","273.0","0.0"
"352","David Roddy","MEM","PF","274","274","274.0","0.0"
"353","MarJon Beauchamp","MIL","F","275","275","275.0","0.0"
"354","Blake Wesley","SAS","SG","276","276","276.0","0.0"
"355","Wendell Moore Jr.","MIN","F","278","278","278.0","0.0"
"356","Dalen Terry","CHI","PG","279","279","279.0","0.0"
"357","Patrick Baldwin Jr.","GSW","G","280","280","280.0","0.0"
"358","Peyton Watson","DEN","SF","281","281","281.0","0.0"
"359","Andrew Nembhard","IND","PG","282","282","282.0","0.0"
"360","Caleb Houstan","ORL","G","283","283","283.0","0.0"
"361","George Hill","MIL","PG,SG DTD","284","284","284.0","0.0"
"362","Christian Koloko","TOR","PF","284","284","284.0","0.0"
"363","Max Christie","LAL","SG","286","286","286.0","0.0"
"364","Moritz Wagner","ORL","PF,C","287","287","287.0","0.0"
"365","Gabriele Procida","DET","SG","287","287","287.0","0.0"
"366","Mike Muscala","OKC","PF,C","289","289","289.0","0.0"
"367","Kennedy Chandler","MEM","PG","289","289","289.0","0.0"
